id,"titel","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
1,"à propos: philosophie (Dokumentarfilm)","Deutschland","Berlin","Film / Video",1000,1055,245,0,16,16,43,10,11,"05.04.13 12:33","21.06.13","http://www.startnext.de/aproposphilosophie"
2,"GalaCon 2013","Deutschland","Ludwigsburg","Event",2500,10920,625,0,181,162,177,65,2,"13.03.13 14:46","09.06.13","http://www.startnext.de/galacon-2013"
3,"Konzertprojekt Junger Chor: Hugo Distler &#8211, Totentanz","Deutschland","Stuttgart","Musik",1000,1391,754,0,30,30,53,4,2,"05.03.13 15:40","01.06.13","http://www.startnext.de/junger-chor-herbst-2013"
4,"Das Niveau - Rockt! - HAMBURG (Logo)","Deutschland","Hamburg","Musik",1200,1225,13,0,81,56,74,1,3,"28.03.13 17:48","31.05.13","http://www.startnext.de/hamburgrockt"
5,"Jazz Trio 'TREY' CD Veröffentlichung","Deutschland","Essen","Musik",1000,1875,211,0,117,115,74,10,0,"26.03.13 09:44","23.05.13","http://www.startnext.de/trey"
6,"CodeQuartett","Deutschland","Aiglsbach","Games",1337,1685,51,0,108,107,126,12,3,"21.02.13 15:03","15.05.13","http://www.startnext.de/codequartett"
7,"Das Niveau 'Rockt!' - unser drittes Studioalbum","Deutschland","Berlin","Musik",8000,15685,0,0,490,481,513,67,4,"28.03.13 17:44","15.05.13","http://www.startnext.de/dasniveaurockt"
8,"Steam Noir: Revolution","Deutschland","Stuttgart","Games",7000,12945,110,0,321,307,349,74,18,"13.03.13 20:31","12.05.13","http://www.startnext.de/steam-noir-revolution"
9,"DMNK Clothing","Deutschland","Trier","Mode",3000,3152,2562,0,14,12,80,13,7,"11.02.13 12:02","09.05.13","http://www.startnext.de/dmnk-clothing"
10,"Falsches Spiel","Deutschland","Mainz","Film / Video",8000,8890,5309,0,101,92,177,33,14,"07.02.13 12:00","06.05.13","http://www.startnext.de/falschesspiel"
11,"Der Schatz von Großzapfelsberg","Deutschland","Beratzhausen","Film / Video",2500,2555,1120,0,42,36,45,7,6,"06.02.13 11:46","06.05.13","http://www.startnext.de/grosszapfelsberg"
12,"ROUGHTOWN - TragikActionKomödie","Deutschland","Berlin","Film / Video",6000,6246,1270,0,31,25,94,9,13,"13.03.13 16:29","05.05.13","http://www.startnext.de/roughtown"
13,"Marielle, die Ehrjungfrau","Deutschland","Berlin","Theater",4500,5097,1797,0,76,71,96,18,13,"18.03.13 18:23","05.05.13","http://www.startnext.de/marielle-die-ehrjungfrau"
14,"Lord Byron 2021","Deutschland","Berlin","Kunst",800,854,140,0,24,20,38,7,8,"25.03.13 10:38","05.05.13","http://www.startnext.de/lordbyron2021"
15,"Mädchen - Rockmusik ohne Gitarren - Das erste Album","Deutschland","Braunschweig","Musik",4000,4140,2055,0,43,37,75,15,3,"04.02.13 16:53","03.05.13","http://www.startnext.de/maedchen-rocken"
16,"Mit dem Gesicht zur Sonne","Deutschland","Passau","Literatur",6000,6092,557,0,136,114,165,72,23,"04.02.13 15:56","02.05.13","http://www.startnext.de/mit-dem-gesicht-zur-sonne"
17,"Debutalbum 'Funkfluenza' von Anna Partué & the Soul Age Band","Deutschland","Erfurt","Musik",1800,2060,559,0,24,24,58,3,3,"04.02.13 09:42","01.05.13","http://www.startnext.de/funkfluenza-debutalbum"
18,"Brettspiel 'Das Labyrinth des Pharao'","Deutschland","München","Games",10000,10411,4650,0,141,121,199,37,12,"01.03.13 09:20","01.05.13","http://www.startnext.de/pharao"
19,"NACHOBENOFFEN mini für 4 - 11Jährige","Deutschland","Wiesmoor","Theater",3500,3515,2940,0,20,19,76,10,8,"01.02.13 16:30","01.05.13","http://www.startnext.de/nachobenoffen-mini"
20,"Fleischsalat","Deutschland","Hamburg","Film / Video",500,500,130,0,14,13,22,3,6,"15.03.13 10:24","01.05.13","http://www.startnext.de/fleischsalat"
21,"Piraten! Die Abenteuer der Baracuda ","Deutschland","Berlin","Theater",2500,2840,1987,0,38,36,40,7,10,"04.04.13 14:38","30.04.13","http://www.startnext.de/piratenmusical"
22,"HeimatPunk - mit T-Shirts kreativ helfen!","Deutschland","München","Mode",6500,6856,1681,0,102,91,133,44,9,"11.03.13 15:06","30.04.13","http://www.startnext.de/heimatpunk-projekt"
23,"»Der Kirschgarten« von Anton Tschechow ","Deutschland","Rosenau","Theater",5000,5065,3320,1220,29,27,66,5,3,"01.03.13 13:27","30.04.13","http://www.startnext.de/kirschgarten"
24," 'ELBCOAST UNDERGROUND WEEKENDER 14' Urbanes Tanzfestival Hamburg","Deutschland","Hamburg","Event",5000,5338,5035,0,24,24,104,8,6,"02.04.13 17:15","30.04.13","http://www.startnext.de/elbcoastunderground"
25,"Blaukopf - Der Film","Deutschland","Offenburg","Film / Video",555,590,220,0,8,8,43,3,16,"15.03.13 10:22","30.04.13","http://www.startnext.de/bluehead"
26,"Miriamba","Deutschland","Köln","Film / Video",9500,10580,7743,0,69,63,176,29,19,"17.01.13 10:48","30.04.13","http://www.startnext.de/drehbuch-miriamba"
27,"BlattKunst supports Viva con Agua","Deutschland","Stuttgart","Fotografie",6500,6805,4601,0,63,57,153,15,4,"11.03.13 18:23","30.04.13","http://www.startnext.de/midnightproject-vca"
28,"USE-IT map für Dresden","Deutschland","Dresden","Informationsangebot",2000,2190,805,595,55,53,84,13,5,"04.03.13 12:14","30.04.13","http://www.startnext.de/use-it"
29,"Humans iQ","Deutschland","Rehden","Mode",3000,3041,2006,0,29,27,73,9,4,"12.02.13 14:07","30.04.13","http://www.startnext.de/humans-iq"
30,"Re:sidanse  - Künstlerresidenz am Römerkastell (SB)","Deutschland","Saarbrücken","Kulturelle Bildung",3000,3137,2338,0,57,48,85,10,14,"14.03.13 10:06","30.04.13","http://www.startnext.de/re-sidanse"
31,"Debutalbum von Kat & The Major Pins","Deutschland","Berlin","Musik",1250,1440,300,0,48,47,63,6,2,"02.04.13 09:28","30.04.13","http://www.startnext.de/the-major-pins"
32,"Freigeist [Kurzfilm]","Deutschland","Stuttgart","Film / Video",2500,3230,415,0,64,60,62,11,10,"02.04.13 14:47","30.04.13","http://www.startnext.de/freigeist-kurzfilm"
33,"Landjäger Magazin - Jasskarten","Österreich","Schwarzenberg","Design",8000,9540,940,0,251,237,237,24,8,"01.03.13 11:31","29.04.13","http://www.startnext.de/lj-jasskarten"
34,"Berlin Dry Gin","Deutschland","Berlin","Erfindung",9999,12921,200,0,212,206,265,29,2,"25.03.13 14:47","28.04.13","http://www.startnext.de/berlingin"
35,"Pressung der Langspielplatte 'Live at Wimbledon'","Deutschland","Hamburg","Musik",1500,1852,218,0,71,71,97,7,16,"07.03.13 15:38","28.04.13","http://www.startnext.de/honeyheads"
36,"CHAPEAU CLAQUE  Album & Musikvideo","Deutschland","Weimar","Musik",12000,16053,614,0,298,292,324,83,6,"30.01.13 15:22","28.04.13","http://www.startnext.de/chapeau-claque"
37,"Lieder für die NEUEN Zwanziger Jahre (CD-Projekt)","Deutschland","Berlin","Musik",4000,4061,1621,0,46,42,72,26,20,"19.03.13 12:19","28.04.13","http://www.startnext.de/die-neuen-zwanziger-jahre"
38,"Herr Mannelig - Kurzfilm","Deutschland","München","Film / Video",1000,1175,275,0,17,16,39,2,3,"21.02.13 16:13","24.04.13","http://www.startnext.de/herr-mannelig-1"
39,"A Good Man - Kurzfilm","Deutschland","Hamburg","Film / Video",1500,1555,158,0,44,43,65,14,12,"03.04.13 16:13","24.04.13","http://www.startnext.de/agoodman"
40,"Ich werde Clown und ihr könnt dabei sein","Deutschland","München","Comic",2100,2143,1576,0,46,43,59,16,10,"04.02.13 12:23","23.04.13","http://www.startnext.de/clown"
41,"Kleine graue Wolke &#8211, Leben mit Multiple Sklerose","Deutschland","Hamburg","Film / Video",5000,5135,890,0,111,107,164,24,7,"08.02.13 16:44","22.04.13","http://www.startnext.de/kleinegrauewolke"
42,"P/ART producers artfair","Deutschland","Hamburg","Kunst",5000,5140,1800,0,49,47,87,10,14,"04.02.13 16:36","22.04.13","http://www.startnext.de/p-art"
43,"CD-Projekt Hugo Wolf: Lieder nach Texten von Mörike, Goethe u.a.","Deutschland","Berlin","Musik",2000,2010,1395,0,21,18,40,10,5,"18.02.13 17:57","22.04.13","http://www.startnext.de/hugo-wolf"
44,"ParasitenNanoShuttle","Deutschland","Dresden","",600,632,380,0,36,27,53,6,7,"29.01.13 13:19","21.04.13","http://www.startnext.de/parasitennanoshuttle"
45,"Hässliche Musik für schöne Menschen: Average Engines - zweites Album","Deutschland","Hamburg","Musik",1500,2661,407,0,87,86,105,30,17,"19.02.13 16:16","21.04.13","http://www.startnext.de/average-engines-2-album"
46,"ExplainTB! - Smartphone-basierte mehrsprachige Patientenaufklärung","Deutschland","Sülfeld","Film / Video",5000,5513,232,2731,96,93,125,23,21,"24.01.13 17:37","21.04.13","http://www.startnext.de/explaintb"
47,"CD Release of Good Morning Dystopia","Deutschland","Berlin","Musik",1000,1205,118,0,48,45,45,11,4,"11.03.13 10:07","21.04.13","http://www.startnext.de/good-morning-dystopia"
48,"REISEN - Das Dritte Album von Cat Balou°","Deutschland","Ravensburg","Musik",3200,3735,594,0,58,54,84,19,20,"25.03.13 09:34","21.04.13","http://www.startnext.de/reisen"
49,"Mr Elektro - Das Rätsel des Balinesischen Heilers","Deutschland","Dresden","Film / Video",3210,5105,305,0,62,57,110,29,14,"19.03.13 16:02","21.04.13","http://www.startnext.de/mr-elektro2013"
50,"Jugendfilmprojekt 'Impavidus'","Deutschland","Berlin","Film / Video",800,810,100,0,10,10,32,2,1,"22.03.13 15:41","21.04.13","http://www.startnext.de/impavidus"
51,"Der Zauberspind bei ImmobilienScout24","Deutschland","Berlin","Erfindung",5000,5020,2520,0,11,10,85,21,3,"28.03.13 15:42","18.04.13","http://www.startnext.de/einfach-berlin-38"
52,"CookForYou - Hobbykoch zum Ausleihen","Deutschland","Hamburg","Erfindung",1000,1016,606,0,22,17,81,16,13,"07.03.13 09:42","16.04.13","http://www.startnext.de/cookforyou"
53,"Surf-Spielfilm 'Luft holen'","Österreich","Wien","Film / Video",10000,11640,5415,0,207,201,229,46,0,"28.01.13 10:36","16.04.13","http://www.startnext.de/luft-holen"
54,"Call me a happy horse - eine multimediale Theater-Performance","Deutschland","Dresden","Theater",1047,1138,438,0,39,38,53,7,3,"15.03.13 14:59","15.04.13","http://www.startnext.de/happy-horse"
55,"DEBUT ALBUM - Niasony Okomo & Maoba Project","Deutschland","Düsseldorf","Musik",3500,3527,102,0,40,36,92,20,18,"12.02.13 11:34","15.04.13","http://www.startnext.de/niasony"
56,"WE ARE TRAFFIC","Deutschland","Hamburg","Fotografie",15000,15551,599,0,397,392,396,78,5,"16.01.13 11:16","15.04.13","http://www.startnext.de/we-are-traffic"
57,"Illustrations-Magazin »Superzine Vanitas«","Deutschland","Berlin","Kunst",1500,1525,297,0,50,47,59,6,0,"29.01.13 14:19","15.04.13","http://www.startnext.de/superzine"
58,"Vortragsreise 'Karnismus' - Melanie Joy","Deutschland","Münster","Event",3000,3685,75,0,104,103,118,26,4,"20.03.13 11:38","15.04.13","http://www.startnext.de/karnismus"
59,"Punch and Eat me if you love me deeply","Deutschland","Hildesheim","Film / Video",500,572,157,0,20,20,44,5,4,"12.03.13 10:19","14.04.13","http://www.startnext.de/punchandeatme"
60,"Das Radiorollenspiel","Deutschland","Berlin","Hörspiel / Hörbuch",3333,3611,691,0,173,167,199,44,10,"06.03.13 18:16","14.04.13","http://www.startnext.de/radiorollenspiel"
61,"Albumproduktion und Pressung Heiss&Eis 'Das geile Album'","Deutschland","Berlin","Musik",3800,3815,3234,0,25,24,58,4,2,"14.02.13 16:16","14.04.13","http://www.startnext.de/heissundeis"
62,"Valeria Frattini Tour","Deutschland","Werne","Musik",1500,1615,993,0,27,26,55,11,11,"05.02.13 18:19","13.04.13","http://www.startnext.de/valeriafrattini-tour"
63,"HOME IS WHERE YOUR HEART IS. Tour 2013","Deutschland","Ulm","Musik",4444,4843,2797,0,82,74,105,13,9,"25.02.13 11:59","13.04.13","http://www.startnext.de/hiwyhi-tour-2013"
64,"Strawinsky:animated - Die Geschichte vom Soldaten","Deutschland","Esslingen am Neckar","Film / Video",10000,10060,7305,0,70,54,129,6,7,"13.03.13 16:37","12.04.13","http://www.startnext.de/strawinskyanimated"
65,"soulbottles & soulwater - plastikfreie Trinkflaschen und Fundraising","Deutschland","Berlin","Design",20000,26556,859,0,458,442,543,100,12,"11.03.13 15:03","11.04.13","http://www.startnext.de/soulbottles-and-soulwater"
66,"The Conundrum - Ein Multi-Plattform Videospiel","Österreich","Wien","Games",3300,3301,660,0,25,25,68,27,13,"22.02.13 10:34","10.04.13","http://www.startnext.de/theconundrumthegame"
67,"Das Floss","Deutschland","Berlin","Film / Video",4000,4807,914,0,92,87,118,25,5,"11.03.13 07:53","08.04.13","http://www.startnext.de/dasfloss"
68,"Fotoprojekt anderStark - Stärke braucht keine Muskeln","Deutschland","Hamburg","Fotografie",3500,4105,1467,0,80,75,75,7,1,"23.01.13 10:39","07.04.13","http://www.startnext.de/anderstark2"
69,"Das ist Esther - Ein Theaterstück zu einer jüdischen Geschichte","Deutschland","Köln","Kulturelle Bildung",450,540,465,0,8,8,25,8,7,"18.03.13 09:32","05.04.13","http://www.startnext.de/das-ist-esther"
70,"Fotos für die Pressefreiheit","Deutschland","Berlin","Journalismus",7500,8216,934,745,299,290,314,45,20,"05.02.13 12:26","05.04.13","http://www.startnext.de/fotos-fuer-die-pressefreiheit"
71,"2013: Was von Deutschland übrig bleibt","Deutschland","Berlin","Journalismus",3000,3240,311,0,108,106,130,21,1,"06.03.13 11:07","05.04.13","http://www.startnext.de/winterwanderung"
72,"Natascha Bells EP 'Unique' und Musikvideo ","Deutschland","Hannover","Musik",2000,2076,806,0,83,70,84,25,12,"28.01.13 12:57","04.04.13","http://www.startnext.de/natascha-bell-ep"
73,"Make Me Happy Cookies","Deutschland","Köln","Film / Video",4500,4785,2985,0,44,36,85,18,15,"22.01.13 14:50","04.04.13","http://www.startnext.de/make-me-happy-cookie"
74,"ASTRID","Deutschland","Berlin","Film / Video",2013,2353,955,0,47,46,66,17,15,"22.02.13 10:40","03.04.13","http://www.startnext.de/astrid"
75,"Ein Orchester für die Bachelorarbeit","Deutschland","Berlin","Musik",1500,1585,585,0,24,23,50,8,5,"02.01.13 16:25","02.04.13","http://www.startnext.de/orchester-fuer-bachelorarbeit"
76,"Ein Abend Ewigkeit","Deutschland","Hannover","Film / Video",3000,3171,601,0,74,73,118,14,11,"09.01.13 17:02","02.04.13","http://www.startnext.de/ein-abend-ewigkeit"
77,"Debüt-EP der Band 'daZWISCHENmeer'","Deutschland","Heidelberg","Musik",2500,3030,343,0,106,101,96,30,16,"29.01.13 16:30","01.04.13","http://www.startnext.de/dazwischenmeer"
78,"Grossstadtlöwe - Kurzfilm","Deutschland","Mainz","Film / Video",1400,1485,345,0,40,36,55,12,9,"21.02.13 15:13","01.04.13","http://www.startnext.de/grossstadtloewe"
79,"KannMannFrau","Deutschland","München","Film / Video",5000,5473,2753,0,36,32,93,8,7,"22.01.13 17:35","31.03.13","http://www.startnext.de/kmf"
80,"More than friendship (Independent-Spielfilm)","Deutschland","Berlin","Film / Video",4500,4965,250,0,54,49,97,18,10,"14.01.13 10:14","31.03.13","http://www.startnext.de/more-than-friendship"
81,"Julia Luis - New Album 'Blind' ","Deutschland","Berlin","Musik",500,530,75,0,17,15,24,4,2,"15.02.13 10:53","31.03.13","http://www.startnext.de/julia-luis-new-album-blind"
82,"Projekt # Riga","Deutschland","Braunschweig","Fotografie",1000,1780,130,0,47,45,83,20,12,"01.02.13 12:08","31.03.13","http://www.startnext.de/projektriga"
83,"Untergang der Schönheit","Deutschland","Düsseldorf","Theater",2500,2528,2008,0,40,38,74,14,2,"18.01.13 10:21","31.03.13","http://www.startnext.de/hartmannmueller"
84,"KathaStrophe - Ein studentisches Kurzfilmprojekt","Deutschland","Kiel","Film / Video",300,410,15,0,12,12,42,8,19,"28.01.13 12:50","31.03.13","http://www.startnext.de/kathastrophe-kurzfilm"
85,"Beethoven goes Bethlehem","Deutschland","Bonn","Film / Video",5250,5401,936,0,82,80,122,17,30,"13.02.13 16:41","31.03.13","http://www.startnext.de/bob"
86,"Kurzfilm Saunageflüster","Deutschland","Kiel","Film / Video",600,600,170,0,19,18,51,11,20,"15.02.13 18:30","31.03.13","http://www.startnext.de/kurzfilm-saunagefluester"
87,"'Siehste, jeht doch!' -Ausstellungskatalog ","Deutschland","Berlin","Fotografie",2800,3307,420,0,75,73,114,35,9,"21.02.13 10:57","31.03.13","http://www.startnext.de/siehste-jeht-doch"
88,"part Kunstschau auf 6000 qm","Deutschland","Mainz","Event",1000,1000,845,0,6,6,30,0,2,"15.03.13 18:00","31.03.13","http://www.startnext.de/part-kunstschau-mainz"
89,"Auf der anderen Seite","Deutschland","Kiel","Film / Video",500,572,246,0,15,15,26,3,23,"15.02.13 10:27","30.03.13","http://www.startnext.de/auf-der-anderen-seite"
90,"ROSSINI: Musikalisch, kulinarisch, literarisch. Amourös","Deutschland","Kühlungsborn","Musik",5000,5003,4483,0,23,21,62,1,5,"22.01.13 13:40","29.03.13","http://www.startnext.de/baltic-rossini-week"
91,"WLAN für das Luisenviertel","Deutschland","Wuppertal","Informationsangebot",1015,1195,570,0,57,54,73,21,5,"05.03.13 16:48","29.03.13","http://www.startnext.de/wlan-fuer-das-luisenviertel"
92,"Independent Days 13|Filmfest","Deutschland","Karlsruhe","Event",3000,3086,1,320,13,12,71,12,0,"27.12.12 12:29","27.03.13","http://www.startnext.de/independent-days-13-filmfest"
93,"Chassée - Ein Musikvideo","Deutschland","Wiesbaden","Film / Video",2500,2510,1910,0,17,14,43,3,10,"21.02.13 14:57","27.03.13","http://www.startnext.de/chass-e"
94,"SILBERSAU","Deutschland","Berlin","Film / Video",10000,10047,5082,0,81,79,165,10,0,"01.02.13 15:21","26.03.13","http://www.startnext.de/silbersau-at"
95,"Kurzfilm Abschlussprojekt  'erlöse uns von dem Bösen'","Österreich","Salzburg","Film / Video",600,900,0,0,9,9,30,3,9,"31.12.12 13:08","25.03.13","http://www.startnext.de/erloese-uns-von-dem-boesen"
96,"Soupshop: Big in Berlin. Mit Eurer Hilfe zum fetzigen Skunkrock-Album!","Österreich","Wien","Musik",4500,4878,3233,0,64,44,101,20,16,"29.01.13 16:18","25.03.13","http://www.startnext.de/soupshop-new-album"
97,"MEMORIEZ »Huntin' a Hurricane« CD- & Vinylpressung","Deutschland","Hamburg","Musik",1500,2019,33,0,82,81,96,10,5,"23.01.13 14:42","24.03.13","http://www.startnext.de/memoriez"
98,"Kris Kelvin, Debüt-EP","Deutschland","Berlin","Musik",1000,1336,71,0,43,43,52,5,4,"18.02.13 17:43","24.03.13","http://www.startnext.de/kriskelvin"
99,"GAME","Deutschland","Bayreuth","Film / Video",1000,1105,530,0,27,18,59,2,4,"05.03.13 15:38","24.03.13","http://www.startnext.de/game-film"
100,"Wink mit dem Zaunpfahl","Deutschland","Weinstadt","Film / Video",2500,2935,275,0,53,52,77,10,0,"26.02.13 16:32","24.03.13","http://www.startnext.de/wink-mit-dem-zaunpfahl"
101,"Arty Chock: MONEY TALKS &#8211, über Geld spricht man nicht","Deutschland","Marburg","Theater",750,815,225,0,26,24,41,8,10,"26.02.13 16:24","23.03.13","http://www.startnext.de/money-talks"
102,"Ensemble Ruhr Konzertmitschnitt","Schweiz","Essen","Musik",2500,3060,2185,0,42,38,50,17,10,"29.01.13 16:27","22.03.13","http://www.startnext.de/ensemble-ruhr-konzertmitschnit"
103,"Der unberührte Garten (Kurzfilm)","Deutschland","Stuttgart","Film / Video",2500,3448,1372,0,80,70,76,35,9,"18.01.13 17:46","20.03.13","http://www.startnext.de/garten"
104,"Musikvideoproduktion 'Le  carrousel de nuite' vom Album ' Le Cirque'","Deutschland","Dresden","Film / Video",1000,1045,460,0,9,9,33,5,5,"04.01.13 14:55","19.03.13","http://www.startnext.de/le-cirque"
105,"Technik für das gute Leben","Deutschland","Hamburg","Erfindung",3000,3053,1442,0,100,87,151,25,8,"10.01.13 14:52","18.03.13","http://www.startnext.de/bodenfuttertopf-und-saftpresse"
106,"t=E/x_ - Zeitreise-Spielfilm mit Jasmin Wagner und Mario Ganß","Deutschland","Wiesbaden","Film / Video",7777,10691,1221,0,135,121,196,44,29,"19.12.12 12:02","17.03.13","http://www.startnext.de/tex"
107,"THE FLOOD","Deutschland","Mainz","Musik",3800,3815,3053,0,27,19,59,11,6,"10.01.13 13:36","17.03.13","http://www.startnext.de/theflood"
108,"Play Me, I'm Yours München 2013 - die ersten Pianos","Deutschland","München","Event",5773,5854,765,1580,79,61,123,17,19,"25.01.13 09:40","17.03.13","http://www.startnext.de/pmiymuc13"
109,"Barulheiros - Live DVD","Deutschland","Witten","Film / Video",1000,1323,168,0,44,43,44,7,12,"12.02.13 15:55","17.03.13","http://www.startnext.de/barulheiros-live-dvd"
110,"Tippgemeinschaft - Jahresanthologie der Studierenden des DLL","Deutschland","Leipzig","Literatur",700,764,82,0,33,32,44,4,5,"21.01.13 13:13","16.03.13","http://www.startnext.de/tippgemeinschaft-2013"
111,"Die Leiden des jungen Werther","Deutschland","Berlin","Theater",600,630,580,0,12,10,35,1,0,"14.02.13 16:19","16.03.13","http://www.startnext.de/die-leiden-des-jungen-werther"
112,"Das große Finale: Allimania 20","Deutschland","Scheeßel","Hörspiel / Hörbuch",7500,20493,1788,0,860,843,762,154,3,"18.02.13 15:34","15.03.13","http://www.startnext.de/allimania-20"
113,"The Weird Girls Project in Deutschland","Deutschland","Greifswald","Theater",750,1150,345,0,66,64,83,7,13,"11.02.13 11:13","15.03.13","http://www.startnext.de/the-weird-girls-project"
114,"Fotokunst - Galerie in Leipzig","Deutschland","Leipzig","Fotografie",200,234,13,0,14,12,23,13,8,"05.03.13 15:36","15.03.13","http://www.startnext.de/fgl"
115,"Toilets - Der Film","Deutschland","Hamburg","Film / Video",8000,8418,4280,0,197,184,235,37,16,"14.12.12 10:54","14.03.13","http://www.startnext.de/toilets"
116,"Sequoia - Der Film","Deutschland","Darmstadt","Film / Video",3000,3498,2143,0,27,25,101,14,9,"14.12.12 11:26","12.03.13","http://www.startnext.de/sequoiafilm"
117,"Matchday - ein Film von Block B Berlin","Deutschland","Berlin","Film / Video",3000,4129,844,0,107,107,104,27,5,"17.12.12 14:28","10.03.13","http://www.startnext.de/matchday-block-b"
118,"Das Mädchen mit der Violine","Deutschland","Dresden","Film / Video",4000,4076,1990,0,70,61,100,13,9,"18.01.13 15:36","09.03.13","http://www.startnext.de/dm"
119,"Qigong - Video-Tutorial","Deutschland","Berlin","Film / Video",1300,1400,340,0,35,34,51,8,14,"04.01.13 14:51","08.03.13","http://www.startnext.de/qigong"
120,"www.bewusst-geniessen.net","Österreich","Dalaas","Informationsangebot",150,155,150,0,2,2,14,2,1,"29.01.13 10:57","08.03.13","http://www.startnext.de/vegane-produktplattform"
121,"Und am Ende sind alle allein","Deutschland","Aachen","Film / Video",2500,2735,1335,0,46,43,62,14,22,"10.12.12 09:54","07.03.13","http://www.startnext.de/und-am-ende-sind-alle-allein"
122,"24h Theater Berlin Ausgabe März","Deutschland","Berlin","Theater",550,575,290,0,8,8,35,6,0,"09.01.13 14:39","07.03.13","http://www.startnext.de/24h-theater-berlin-maerz"
123,"'Wald der Worte' - Spielfilm Mystery - Thriller","Deutschland","Chiemsee","Film / Video",30000,33018,12487,0,407,357,349,159,37,"25.01.13 17:20","07.03.13","http://www.startnext.de/waldderworte"
124,"Immergut auf Reisen - Split - Vinyl mit Valery Gore (CA) & Manors (UK)","Deutschland","Berlin","Musik",2000,2353,60,0,60,57,98,6,4,"22.02.13 16:32","06.03.13","http://www.startnext.de/immergut-auf-reisen-10-vinyl"
125,"Wer bist Du und lebst Du schon Deine Berufung? - Das Buch","Deutschland","Untergriesbach","Literatur",7500,7647,6202,0,34,32,91,33,2,"05.12.12 12:05","05.03.13","http://www.startnext.de/wer-bist-du"
126,"MOYOUCARDS.DE: Motivier´Dich und andere mit Stickerpostkarten","Deutschland","München","Design",1350,1375,775,0,30,29,45,25,13,"14.12.12 11:08","04.03.13","http://www.startnext.de/moyoucards-de"
127,"Album-Produktion Stilbruch: 'Alles kann passieren'","Deutschland","Dresden","Musik",12000,13751,3036,0,203,197,246,15,2,"09.01.13 17:00","03.03.13","http://www.startnext.de/alles-kann-passieren"
128,"Mater Dolorosa - Italienische Passionsgesänge","Deutschland","Dresden","Musik",6000,6321,5296,0,45,41,100,18,8,"23.01.13 14:32","03.03.13","http://www.startnext.de/mater-dolorosa"
129,"TÊTE-RE-TÊTE - Kopf verloren, Glück gefunden.","Deutschland","Berlin","Theater",6000,6707,3972,0,98,78,122,22,18,"10.12.12 12:17","02.03.13","http://www.startnext.de/tete-re-tete"
130,"Sunny - Kurzfilm (Post-Production)","Deutschland","Berlin","Film / Video",2500,2700,915,0,46,43,60,14,6,"18.01.13 10:01","02.03.13","http://www.startnext.de/sunny"
131,"Fairnopoly - der faire Online-Marktplatz in Hand der Nutzer*innen","Deutschland","Berlin","Informationsangebot",50000,210363,1000,0,867,858,487,86,18,"11.01.13 18:41","01.03.13","http://www.startnext.de/fairnopoly"
132,"Steffen Linck - Pressung der Sticks & Stones EP","Deutschland","Berlin","Musik",1100,1544,127,0,105,105,84,17,2,"11.02.13 15:08","01.03.13","http://www.startnext.de/steffenlinck"
133,"Dritter Mai zwischen den Nudeln","Deutschland","Ilmenau","Film / Video",2500,2985,370,0,94,81,100,7,5,"31.12.12 10:41","01.03.13","http://www.startnext.de/ilmpressions2013"
134,"Ars Dilettanti - Dezentrale, unabhängige und befristete Kunstansammlung","Deutschland","Augsburg","Event",2000,2175,325,0,75,73,80,10,7,"14.02.13 10:40","01.03.13","http://www.startnext.de/direktion"
135,"'Der Tropfen' - Spielfilmprojekt","Deutschland","Berlin","Film / Video",5000,6086,1366,0,135,119,144,28,27,"29.11.12 09:52","28.02.13","http://www.startnext.de/dertropfen"
136,"neue Blind Passenger-CD 'ZEITSPRUNG'","Deutschland","Blankenfelde-Mahlow","Musik",2500,3095,30,0,46,46,63,7,0,"29.11.12 17:10","28.02.13","http://www.startnext.de/blind-passenger"
137,"happy ding! - Beide Messies' Dingmesse mit Tanz, Musik, Gesang und Objekten","Deutschland","Berlin","Theater",7250,7345,6465,0,29,28,87,10,3,"14.12.12 11:15","28.02.13","http://www.startnext.de/happy-ding"
138,"Produktion und Promotion des 2. Studioalbums von 'Die Versenker'","Deutschland","Köln","Musik",6000,8236,206,0,108,97,131,29,14,"04.12.12 15:50","28.02.13","http://www.startnext.de/dieversenker"
139,"Free on Wheels ","Deutschland","Berlin","Film / Video",7000,7351,2743,0,97,95,142,46,38,"10.12.12 17:33","28.02.13","http://www.startnext.de/free-on-wheels"
140,"YANGON CALLING - BUCH UND DOKU ÜBER BURMESISCHE SUBKULTUR ","Deutschland","Berlin","Film / Video",4000,4801,2046,0,49,48,115,17,0,"08.01.13 10:58","28.02.13","http://www.startnext.de/yangoncalling"
141,"Mina Lavina - Das Kinderhörspiel-Musical","Deutschland","Berlin","Hörspiel / Hörbuch",5000,5099,4909,0,16,16,59,11,1,"11.01.13 18:20","28.02.13","http://www.startnext.de/minalavina"
142,"Plus Eins: Das Google+ für Jedermann","Deutschland","Köln","Literatur",5000,11749,717,0,589,580,515,181,10,"07.01.13 12:31","28.02.13","http://www.startnext.de/pluseins"
143,"2 Zimmer Gefüge - Vinyl Release ","Deutschland","Saarbrücken","Musik",1520,1564,1125,0,23,23,49,9,25,"29.01.13 12:19","28.02.13","http://www.startnext.de/2zgvinyl"
