id,"titel","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
297,"Balloon Saloon","Deutschland","Hamburg","Event",1200,1326,190,0,55,54,71,11,5,"08.10.12 16:27","15.11.12","http://www.startnext.de/balloonsaloon"
298,"Ich, Siegfried","Deutschland","Köln","Film / Video",2000,2320,90,0,25,23,66,8,20,"05.10.12 14:03","15.11.12","http://www.startnext.de/ichsiegfried"
299,"'A Christmas Carol' at Open House Theatre Company, Vienna","Deutschland","Wien","Theater",3980,4125,2450,0,48,46,80,9,4,"02.10.12 18:41","10.11.12","http://www.startnext.de/open-house-theatre-company"
300,"Die Bude Halle","Deutschland","Halle (Saale)","Theater",2000,2095,1080,0,29,29,72,9,14,"08.10.12 18:25","10.11.12","http://www.startnext.de/die-bude-halle"
301,"Drei Rosen - ein getanztes Märchen","Deutschland","Frankfurt am Main","Theater",1190,1248,443,0,42,41,59,21,31,"15.08.12 10:31","09.11.12","http://www.startnext.de/drei-rosen"
302,"Unterwegs mit Herbert Fischer-Solms","Deutschland","Senden","Journalismus",300,317,75,0,32,31,33,7,11,"22.10.12 14:14","09.11.12","http://www.startnext.de/unterwegsmit2"
303,"Gib mir ein Morgen - Kurzfilm","Deutschland","Kreuzberg, Berlin, Deutschland","Film / Video",2100,2192,632,0,57,56,55,13,3,"17.10.12 10:12","08.11.12","http://www.startnext.de/gib-mir-ein-morgen"
304,"JugendTheaterFestival FESTIWALLA 2012","Deutschland","Berlin","Theater",500,509,229,0,29,29,27,3,14,"26.10.12 16:27","07.11.12","http://www.startnext.de/festiwalla-2012-1"
305,"ECHT","Deutschland","Hamburg","Musik",1500,1597,702,0,41,38,73,14,11,"04.09.12 18:46","06.11.12","http://www.startnext.de/dominik-schwarzer"
306,"PionierGarage - Silicon Valley Tour 2012 ","Deutschland","Karlsruhe","Journalismus",5000,5160,2845,135,53,49,74,8,8,"25.09.12 11:25","06.11.12","http://www.startnext.de/pioniergarage"
307,"Vom Smoli&#269,ek","Deutschland","München","Film / Video",7000,9543,3748,0,62,54,147,33,15,"26.07.12 11:24","04.11.12","http://www.startnext.de/vom-smolicek"
308,"Wurzeln, Dreck und Steine","Deutschland","Dresden","Film / Video",2000,2965,240,0,74,71,113,18,6,"17.09.12 17:07","02.11.12","http://www.startnext.de/wurzeln-dreck-und-steine"
309,"Stadtparlamentfernsehen und StaPaTV-Magazin","Deutschland","Maintal","Film / Video",550,683,0,0,6,5,31,7,25,"02.08.12 17:54","01.11.12","http://www.startnext.de/stapatv-2012"
310,"last train home","Deutschland","München","Film / Video",5500,5528,1413,0,80,73,152,23,9,"15.08.12 16:08","01.11.12","http://www.startnext.de/last-train-home"
311,"HIV 2.013: Ansteckend ist die Unwissenheit (Arbeitstitel)","Deutschland","Berlin","Literatur",5000,5306,1526,0,96,90,110,28,11,"21.08.12 15:27","01.11.12","http://www.startnext.de/hiv-update"
