id,"titel","starter","land","ort","kategorie",budget,summe,free,donations,supports,supporter,fans,kommentare,blogposts,"aktivierungsdatum","enddatum","URL"
607,"KlangStadt Open Air 2011","Christian Bernardy","Deutschland","Freibad Poggensee, Bad Oldesloe (zwischen Hamburg und Lübeck)","Musik",1100,250,0,0,8,8,30,2,0,"18.03.11 10:01","23.05.11","http://www.startnext.de/ksoa2011"
608,"StageTheSpace","Johanna Malchow","Deutschland","Betahaus Berlin","Fotografie",500,1,0,0,1,1,15,0,1,"18.04.11 22:12","20.05.11","http://www.startnext.de/stagethespace"
609,"Rest in Beef´s Debutalbum","Fabian Grunwald","Deutschland","Wesermarsch","Musik",500,25,0,0,3,3,35,3,7,"25.02.11 11:19","10.05.11","http://www.startnext.de/rest-in-beef-cd"
610,"Mimikry","Jonas Hieronimus","Deutschland","Hamburg","Film / Video",1000,25,5,0,3,3,38,0,4,"01.04.11 13:31","08.05.11","http://www.startnext.de/mimikry"
611,"Gamecast Pilotfolge (interaktiver Computerspielfilm)","Gamecast Game Cast","Deutschland","Berlin, Mittweida","Games",11000,1371,66,0,31,30,179,3,0,"02.11.10 15:10","15.04.11","http://www.startnext.de/gamecast-urban-legend"
612,"politisch bedenklich?!","Markus Förster","Deutschland","Berlin","Literatur",1375,150,0,0,10,10,25,1,0,"14.10.10 14:03","14.04.11","http://www.startnext.de/politisch-bedenklich"
613,"NAUMONZEIT","Mona el Gammal","Deutschland","Köln, Rheinauhafen, Theaterschiff Naumon","Event",6000,230,40,100,8,8,83,3,4,"21.03.11 12:24","14.04.11","http://www.startnext.de/naumonzeit"
614,"Fotokunst Ausstellung","Claudia Drossert","Deutschland","Leipzig","Kunst",500,20,0,0,3,2,14,18,6,"17.03.11 10:57","10.04.11","http://www.startnext.de/ausstellung"
615,"Finale (www.finale-movie.com)","Rouchdi Guedria","Deutschland","Köln","Film / Video",16500,354,244,0,18,16,116,1,2,"05.10.10 17:05","04.04.11","http://www.startnext.de/finale"
616,"SCREENPLAY.CHB | an audiovisual night at .CHB","Christian Sonntag","Deutschland","Berlin","Event",1741,108,20,0,7,7,59,4,9,"28.02.11 02:30","02.04.11","http://www.startnext.de/screenplay"
617,">>FastForward Magazine - Launch der Printausgabe","Gabi Rudolph","Deutschland","Berlin","Journalismus",5500,2978,123,0,54,48,123,4,8,"22.10.10 12:19","01.04.11","http://www.startnext.de/fastforwardmagazine"
618,"DIONYSIEN MMXI","ARTS IN DIALOG Robert Besta","Deutschland","Karlsruhe","Theater",550,0,0,0,1,1,3,0,0,"13.01.11 21:37","01.04.11","http://www.startnext.de/dionysien-mmxi"
619,"Burning Quiet - Ein Dokumentarfilm","Gregor Ranft","Deutschland","Weltweit","Film / Video",7150,95,0,0,5,4,15,0,1,"22.11.10 22:51","30.03.11","http://www.startnext.de/burning-quiet"
620,"LMNZ - Worldwide Rap (Album mit 29 Sprachen): Vinylpressung & Produktion","Markus Gram","Deutschland","Berlin","Musik",7700,70,0,0,4,4,9,0,0,"07.01.11 14:52","15.03.11","http://www.startnext.de/worldwide-rap"
621,"VVDO Sommerkollektion 2012 - Ziel ist die Paris Fashion Week!","Caspar Borkowsky","Deutschland","Köln","Mode",8800,45,35,0,5,5,22,0,1,"22.12.10 10:22","15.03.11","http://www.startnext.de/vvdo-sommerkollektion-2012"
622,"Launch der ersten Printausgabe 'Wie werde ich Millionär?'","Goran Cubric","Deutschland","London","Literatur",2600,45,15,0,4,4,7,0,3,"14.01.11 11:37","15.03.11","http://www.startnext.de/wwim"
623,"Based in Berlin - Schmiede Exhibition 4.3.2011-18.3.2011","Thomas Mader","Deutschland","MultiLayerLaden Berlin/Kreuzberg","Event",250,101,0,0,2,2,2,0,0,"02.02.11 12:04","03.03.11","http://www.startnext.de/based-in-berlin-1"
624,"Bessere Zeiten Open Air 2011","Katja Engemann","Deutschland","Leipzig","Event",5500,85,15,10,7,5,25,3,6,"13.10.10 20:54","01.03.11","http://www.startnext.de/bessere-zeiten"
625,"Four vs. Hellfire","Mathias Mertens","Deutschland","Hildesheim","Musik",275,155,120,0,11,11,17,0,8,"28.12.10 21:05","27.02.11","http://www.startnext.de/four-vs-hellfire"
626,"Bildhauersymposium in Ecuador","Peter Hecht","Deutschland","Berlin, Südamerika / Ecuador","Kunst",2200,1,0,0,1,1,3,0,0,"28.01.11 11:49","25.02.11","http://www.startnext.de/animalart"
627,"how to make some action - Multimediaguide für deine Idee","Marcus Rüssel","Deutschland","Görlitz","Literatur",1650,395,255,40,10,9,29,3,4,"02.11.10 17:09","18.02.11","http://www.startnext.de/how-to-make-some-action"
628,"Snowboarding Iran","René Eckert","Deutschland","Auerbach","Film / Video",15400,124,2,0,16,16,43,4,15,"04.10.10 18:41","15.02.11","http://www.startnext.de/snowboarding-iran"
629,"wd100.de - Blog mit Podcast für Webentwickler","Jens Steingräver","Deutschland","Oberstdorf","Journalismus",3300,15,0,0,1,1,3,0,1,"28.12.10 20:26","15.02.11","http://www.startnext.de/wd100"
630,"bier statt blumen","Nicole Walter","Deutschland","Berlin","Journalismus",660,6,1,0,2,2,8,0,0,"06.01.11 15:03","09.02.11","http://www.startnext.de/bier-statt-blumen"
631,"Ein Theater geht nach drau¤en oder Draculix will nicht nass werden...","Jens Thermann","Deutschland","Magdeburg","Theater",2750,65,0,0,6,4,15,2,6,"04.10.10 18:41","01.02.11","http://www.startnext.de/marionettentheater"
632,"Stadt- Regio- Informationen in Echtzeit ","Alexander Friedland","Deutschland","Dresden","Technologie",8800,45,0,0,3,3,11,0,0,"14.11.10 15:31","01.02.11","http://www.startnext.de/twiddern-stadtinformationen"
633,"Azadeh oder Die 13 Tage des Leutnant Johann Gottfried von Märwald","Richard K. Breuer","Österreich","Wien","Literatur",3300,15,0,0,2,2,9,0,3,"02.11.10 10:02","31.01.11","http://www.startnext.de/azadeh"
634,"Endland","Milan Pawlowski","Deutschland","Köln","Film / Video",5500,42,2,0,7,5,17,1,17,"10.11.10 10:50","31.01.11","http://www.startnext.de/endland"
635,"DIE WELT IST NICHT NUR GELD - Wirtschaft in Bürgerhand","Peter Krause-Keusemann","Deutschland","Herdecke","Literatur",3300,60,35,0,7,7,11,1,3,"15.11.10 05:25","31.01.11","http://www.startnext.de/wirtschaft-in-buergerhand"
636,"Album Produktion - Club Sonique Acoustic","Reinhard Wedemeyer","Deutschland","Mannheim","Musik",5390,282,200,0,9,8,108,0,5,"27.10.10 09:32","22.01.11","http://www.startnext.de/club-sonique"
637,"Fotobuch Couchsurfing","Steffi Wiegand","Deutschland","Kassel","Fotografie",1045,2,0,0,1,1,14,0,2,"24.11.10 12:22","09.01.11","http://www.startnext.de/fotobuch-couchsurfing"
638,"Veröffentlichung des Albums 'Northern Lights' von Avenue of Drama","Stefan Rother","Deutschland","Passau","Musik",7700,73,0,0,6,6,27,6,3,"07.10.10 12:25","01.01.11","http://www.startnext.de/avenue-of-drama-northern-lights"
639,"PAINT CLUB - das internationale Finale 2010","Andreas Schanzenbach","Deutschland","Halle / Saale","Event",2200,364,11,0,10,8,28,1,5,"12.10.10 12:11","13.12.10","http://www.startnext.de/paint-club-internationale-finale-2010"
